"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","metadata_Individuos","metadata_Especies","n_images","HierarchicalSubject"
"24","CAM_2","Eira barbara",2019-10-07 17:05:16,2019-10-07,"17:05:16",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_2/Eira_barbara","I_00013a.JPG","1 ind","Eira barbara",1,"Individuos|1 ind, Especies|Eira barbara"
"25","CAM_2","Leopardus wiedii",2019-09-29 13:59:51,2019-09-29,"13:59:51",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_2/Leopardus_wiedii","I_00008a.JPG","1 ind","Leopardus wiedii",1,"Individuos|1 ind, Especies|Leopardus wiedii"
"26","CAM_2","Leopardus wiedii",2019-10-01 20:02:14,2019-10-01,"20:02:14",194543,3242.4,54,2.2,"UMA_OCOTONES_CHIS/CAM_2/Leopardus_wiedii","I_00009a.JPG","1 ind","Leopardus wiedii",1,"Individuos|1 ind, Especies|Leopardus wiedii"
"27","CAM_2","Leopardus wiedii",2019-10-15 05:15:07,2019-10-15,"05:15:07",1156373,19272.9,321.2,13.4,"UMA_OCOTONES_CHIS/CAM_2/Leopardus_wiedii","I_00016a.JPG","1 ind","Leopardus wiedii",1,"Individuos|1 ind, Especies|Leopardus wiedii"
"28","CAM_2","Mazama temama",2019-09-16 20:23:28,2019-09-16,"20:23:28",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_2/Mazama_temama","I_00004a.JPG","1 ind","Mazama temama",1,"Especies|Mazama temama, Individuos|1 ind"
"29","CAM_2","Mazama temama",2019-09-17 00:02:49,2019-09-17,"00:02:49",13161,219.3,3.7,0.2,"UMA_OCOTONES_CHIS/CAM_2/Mazama_temama","I_00005a.JPG","1 ind","Mazama temama",1,"Especies|Mazama temama, Individuos|1 ind"
"30","CAM_2","Mazama temama",2019-10-04 00:04:36,2019-10-04,"00:04:36",1468907,24481.8,408,17,"UMA_OCOTONES_CHIS/CAM_2/Mazama_temama","I_00011a.JPG","1 ind","Mazama temama",1,"Especies|Mazama temama, Individuos|1 ind"
"31","CAM_2","Mazama temama",2019-10-11 13:58:55,2019-10-11,"13:58:55",654859,10914.3,181.9,7.6,"UMA_OCOTONES_CHIS/CAM_2/Mazama_temama","I_00015a.JPG","1 ind","Mazama temama",1,"Especies|Mazama temama, Individuos|1 ind"
"32","CAM_2","Odontophorus guttatus",2019-10-02 07:25:07,2019-10-02,"07:25:07",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_2/Odontophorus_guttatus","I_00010a.JPG","3 ind","Odontophorus guttatus",1,"Individuos|3 ind, Especies|Odontophorus guttatus"
"33","CAM_2","Penelope purpurascens",2019-10-11 07:15:17,2019-10-11,"07:15:17",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_2/Penelope _purpurascens","I_00014a.JPG","2 ind","Penelope purpurascens",1,"Individuos|2 ind, Especies|Penelope purpurascens"
